model_name,run_tag,baseline_full,baseline_active,model_full,model_active,active_ratio_test,n_test_windows_used,n_ids_test,WIN,HORIZON,MAX_TEST_WINDOWS,test_window_sampling_rule,threshold_selected_on,window_index_hash_test
baseline_persistence,demo,0.04316420980136336,0.5091056927381381,0.04316420980136336,0.5091056927381381,0.0458395,200000,672,128,10,200000,,validation,
dl_gated_transformer_hurdle,dl_gated_transformer_window_based,0.04316420980136336,0.5091056927381381,0.04180541139003293,0.5300636284788484,0.0458395,200000,672,128,10,200000,ID-balanced + spread start_pos + global cap,validation,005f0255eeb9af52c6b63faa2f9cef3d63bc38277714b20e74151379f241a391
dl_hurdle_tcn,dl_hurdle_tcn_all_ids_window_based,0.04316420980136336,0.5091056927381381,0.04404537264779705,0.6547969095196147,0.0458395,200000,672,128,10,200000,,validation,005f0255eeb9af52c6b63faa2f9cef3d63bc38277714b20e74151379f241a391
ml_hurdle_lgbm,ml_hurdle_lgbm_all_ids_window_based,0.04316420980136336,0.5091056927381381,0.039425030706721445,0.5288227620760688,0.0458395,200000,672,128,10,200000,ID-balanced + spread start_pos + global cap,validation,005f0255eeb9af52c6b63faa2f9cef3d63bc38277714b20e74151379f241a391
